date,inst_f buy,inst_t buy,inst_txf_net,inst_txf_oi,inst_mtx_net,inst_mtx_oi,tse_open,tse_high,tse_low,tse_close,tse_volume,txf_open,txf_high,txf_low,txf_close,txf_volume,above_ma
2019/8/12,-3665741585,414842318,-432,33931,1145,-3701,10491.79004,10514.04981,10440.76953,10472.36035,123865,10439,10477,10380,10439,86901,10
2019/8/13,-7582680506,235084467,2152,36062,-2051,-5668,10436.62012,10436.62012,10361.88965,10362.66016,118051,10385,10400,10319,10343,102727,10
2019/8/14,-2627745970,1231866370,1380,37442,2036,-3644,10444.5,10518.01953,10427.73047,10427.73047,144380,10457,10492,10416,10429,107677,17
2019/8/15,-6145628561,303469790,1869,39292,-4988,-8556,10374.75,10374.75,10287.75977,10327.12988,121964,10255,10335,10242,10300,114302,13
2019/8/16,-10330491386,-113149813,554,38642,5471,1731,10345.41992,10456.32031,10318.37012,10420.88965,119171,10315,10421,10288,10412,123666,24
2019/8/19,-3702938626,693234510,0,38642,-158,1573,10449.38965,10516.04981,10449.38965,10488.75,119408,10436,10489,10419,10481,84825,30
2019/8/20,-3342281755,105310900,3141,41783,1182,2755,10508.41992,10538.12012,10497.12988,10522.5,120257,10487,10530,10478,10526,75599,30
2019/8/21,-2161265781,77245240,3685,42222,1598,5144,10526.87012,10545.25,10504.49023,10525.79981,109150,10514,10544,10505,10528,55497,28
2019/8/22,-3189775369,1846299687,-4289,37933,-3999,1145,10560.00977,10596.41016,10515.71973,10529.78027,121596,10538,10564,10464,10476,105723,29
2019/8/23,-800864972,-204309340,2221,40154,-748,397,10526.15039,10541.73047,10503.07031,10538.11035,108520,10485,10513,10460,10497,76865,37
2019/8/26,-14402174067,-546233136,-2529,37624,-10033,-9632,10453.40039,10453.40039,10340.15039,10354.57031,115551,10335,10367,10294,10307,120523,10
2019/8/27,-8481630918,718368226,3763,41387,2951,-6681,10386.20996,10431.78027,10368.95996,10387.23047,121110,10372,10390,10343,10363,73260,12
2019/8/28,1281138351,375899128,-508,40873,2937,-3691,10397.59961,10456.29981,10397.59961,10434.29004,100681,10390,10438,10388,10412,86040,15
2019/8/29,-1880973131,346355281,4135,45008,1641,-2050,10440.15039,10466.99023,10406.49023,10462.42969,102955,10420,10442,10376,10430,84000,15
2019/8/30,15110359713,237367875,1676,47684,7189,1139,10504.28027,10618.04981,10504.28027,10618.04981,147467,10520,10584,10517,10577,79663,44
2019/9/2,3883604761,262651741,2051,49735,-1307,-168,10613.19043,10634.84961,10589.41992,10634.84961,105114,10564,10615,10556,10603,60421,48
2019/9/3,-7190625831,-305849830,-3050,46684,-3952,-4116,10629.21973,10650.15039,10557.03027,10558.20996,104904,10599,10632,10537,10543,91885,33
2019/9/4,5374818608,-189157500,4403,51087,7832,3819,10566.32031,10670.42969,10566.32031,10657.30957,105392,10563,10657,10558,10644,86348,46
2019/9/5,18806026488,1375860572,-1093,49994,-914,2905,10718.40039,10766.59961,10714.26953,10756.92969,154068,10719,10762,10703,10734,90561,50
2019/9/6,9263463840,77657353,2003,52750,3005,2898,10783.45996,10803.07031,10753.4502,10780.63965,130591,10776,10783,10741,10767,67991,50
2019/9/9,4280537307,-256558785,1435,54185,-608,2290,10808.67969,10829.44043,10778.15039,10801.13965,116283,10802,10827,10773,10793,68655,49
2019/9/10,2272120451,-629807401,-2279,51907,-2902,-616,10791.9502,10810.03027,10732.78027,10753.58008,120076,10801,10814,10731,10742,76145,43
2019/9/11,6419725368,521739883,-872,51053,527,-155,10787.65039,10815.58984,10746.87012,10790.34961,119512,10795,10808,10751,10774,85539,43
2019/9/12,6416134226,493363371,-171,50883,-720,-879,10830.25,10862.67969,10804.01953,10827.54981,116857,10842,10870,10801,10824,87681,44
2019/9/16,9277921270,598716619,8726,59609,4254,3375,10822.69043,10898.12988,10822.69043,10898.12988,116864,10802,10885,10802,10878,76736,44
2019/9/17,5334542597,128816605,-5040,54569,-2592,783,10908.84961,10912.23047,10866.42969,10874.5,114790,10907,10910,10858,10865,59679,37
2019/9/18,17884120383,-66658641,3698,51961,3305,2945,10887.41992,10971.54004,10878.33984,10929.4502,128752,10912,10963,10884,10960,55502,39
2019/9/19,1064006034,231693254,-4310,47683,-3677,-732,10947.62012,10954.17969,10874.66016,10894.7002,112912,10915,10936,10851,10867,91269,36
2019/9/20,4871134076,793780395,3121,50804,2210,1478,10908.09961,10931.75977,10903.4502,10929.69043,144886,10901,10912,10884,10899,60369,37
2019/9/23,1553583530,-236553753,-965,49839,-2582,-1104,10924.80957,10948.19043,10905.91992,10919.01953,105933,10894,10929,10872,10892,75187,28
2019/9/24,2166237982,-908085183,505,50337,-702,-1778,10917.44043,10947.53027,10886.62012,10918.00977,108998,10911,10932,10865,10905,89394,24
2019/9/25,-3119218272,-41650515,-2014,48321,-4547,-6341,10885.66992,10885.66992,10825.84961,10873.69043,104617,10865,10873,10805,10841,100195,18
2019/9/26,-1032266193,363478167,1527,49848,-885,-7226,10909.57031,10934.91016,10856.95996,10871.99023,113662,10876,10895,10828,10843,83502,17
2019/9/27,2236278880,-642754806,2708,52571,2196,-5090,10904,10921.16992,10827.61035,10829.67969,123502,10876,10897,10811,10823,94659,10
2019/10/1,13954303323,118782408,4631,57182,5550,460,10855.59961,10967.65039,10855.59961,10967.65039,147475,10856,10962,10856,10953,90886,20
2019/10/2,1347933442,739103121,-3017,54169,-3933,-3459,10945.91992,10965.2002,10927.38965,10947.87988,115669,10916,10948,10912,10923,66999,18
2019/10/3,-8736796139,43598897,268,54447,-2261,-5760,10866.5,10888.40039,10809.28027,10875.91016,119910,10827,10877,10773,10849,97153,10
